Datetime,ride_count
2024-07-01,3351
2024-07-02,3388
2024-07-03,3358
2024-07-04,3274
2024-07-05,3306
2024-07-06,3281
2024-07-07,3223
2024-07-08,3313
2024-07-09,3358
2024-07-10,3375
2024-07-11,3242
2024-07-12,3382
2024-07-13,3409
2024-07-14,3307
2024-07-15,3318
2024-07-16,3371
2024-07-17,3343
2024-07-18,3359
2024-07-19,3319
2024-07-20,3289
2024-07-21,3237
2024-07-22,3377
2024-07-23,3377
2024-07-24,3286
2024-07-25,3361
2024-07-26,3338
2024-07-27,3362
2024-07-28,3246
2024-07-29,3370
2024-07-30,3432
2024-07-31,3072
